Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
51.5,4.9,28.4,1.7,9.6,22.3,3.0,False,False,True,2.3504304940875427,-0.10168049060662546
17.7,7.6,25.7,6.1,2.6,46.1,1.5,True,False,False,1.949326810242339,-2.1034947510085353
13.2,5.3,33.1,15.64,6.9,40.3,3.0,False,False,True,6.699389668140973,-0.2799276886554585
17.8,7.46,25.83,12.1,2.68,46.02,3.02,False,True,False,3.5894767931615297,-1.2717318851149721
0.6,3.1,55.4,8.48,68.9,65.0,1.5,False,False,True,11.709321106481603,1.9115450476849642
4.08,6.8,24.6,7.7,2.5,62.6,3.0,True,False,False,14.762990029528078,0.8932013447574605
35.2,6.2,17.2,7.66,14.4,13.9,1.5,True,False,False,3.843989918046256,-2.181228226423052
30.57,5.87,30.16,5.23,3.98,36.84,3.0,False,False,True,3.7566008746554393,-3.5843085948582085
28.2,6.8,24.8,7.67,15.8,52.1,1.5,True,False,False,3.9871058826997463,-0.025955935892863425
9.7,6.0,33.0,8.35,2.3,47.1,3.0,False,False,True,6.795144190695252,-1.8584692402767136
35.2,6.2,17.2,3.8,14.4,13.9,1.5,True,False,False,2.5881308432552275,-3.3412351641115197
23.7,6.2,31.2,3.91,10.8,30.9,1.5,True,False,False,2.791830826573433,-1.8234482160926584
2.63,7.4,14.8,1.64,18.7,26.7,3.0,False,False,True,1.6921172131709912,-2.4612002834083966
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,True,False,8.962199920770338,1.217138494421191
17.56,7.61,25.81,4.0,2.65,46.1,2.94,False,True,False,1.1996638042449712,-9.278734717417825
57.0,7.3,17.8,9.6,11.7,15.8,3.0,True,False,False,3.28069913515335,-1.4650274060151298
6.79,7.26,37.56,6.0,1.94,44.97,2.96,True,False,False,4.296179845085737,-1.5697362997274749
17.8,7.2,25.8,11.7,9.5,36.0,3.0,True,False,False,3.2229337080097165,-5.126178568325991
8.0,6.8,72.8,2.86,34.0,46.2,3.0,False,False,True,2.2565342908927484,-1.7185654762405567
386.0,4.5,3.0,17.2,32.1,2.6,3.0,True,False,False,4.751479774332806,1.3371758868667305
49.0,6.7,23.4,6.46,14.7,35.1,3.0,False,False,True,2.9610127406940854,-6.946714233624255
12.76,4.32,34.46,5.9,26.71,70.97,1.52,True,False,False,9.348473885402598,-1.7757655972426054
