Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),Air pore space (%),Clay %,exposure time,Iron and Steel Type,Pipe Diameter (inches),Loss Oz/ft2
20.6,7.3,18,10.9,26,1.9,Bessemer Steel,1.5,0.7
20.6,7.3,18,10.9,26,4.1,Bessemer Steel,1.5,1.4
20.6,7.3,18,10.9,26,6.2,Bessemer Steel,1.5,1
20.6,7.3,18,10.9,26,8,Bessemer Steel,1.5,1.7
20.6,7.3,18,10.9,26,12.1,Bessemer Steel,1.5,1.1
20.6,7.3,18,10.9,26,17.5,Bessemer Steel,1.5,0.9
112,4.5,13.8,16,17.6,2,Bessemer Steel,1.5,1.1
112,4.5,13.8,16,17.6,4.1,Bessemer Steel,1.5,2.1
112,4.5,13.8,16,17.6,6,Bessemer Steel,1.5,2.3
112,4.5,13.8,16,17.6,8,Bessemer Steel,1.5,2.4
112,4.5,13.8,16,17.6,12,Bessemer Steel,1.5,2.9
112,4.5,13.8,16,17.6,17.7,Bessemer Steel,1.5,3.7
112,3.8,7,3.5,4.5,2,Bessemer Steel,1.5,2.4
112,3.8,7,3.5,4.5,4.1,Bessemer Steel,1.5,4.2
112,3.8,7,3.5,4.5,6,Bessemer Steel,1.5,4.8
112,3.8,7,3.5,4.5,8,Bessemer Steel,1.5,5.2
112,3.8,7,3.5,4.5,10.1,Bessemer Steel,1.5,7.7
112,3.8,7,3.5,4.5,12,Bessemer Steel,1.5,8.8
386,4.5,3,32.1,2.6,1.4,Bessemer Steel,1.5,0.2
386,4.5,3,32.1,2.6,4,Bessemer Steel,1.5,0.6
386,4.5,3,32.1,2.6,6.1,Bessemer Steel,1.5,0.8
386,4.5,3,32.1,2.6,8,Bessemer Steel,1.5,1.8
386,4.5,3,32.1,2.6,12,Bessemer Steel,1.5,2.6
386,4.5,3,32.1,2.6,17.2,Bessemer Steel,1.5,2.6
74.4,5.6,24.2,7.5,15.3,1.4,Bessemer Steel,1.5,1.3
74.4,5.6,24.2,7.5,15.3,4,Bessemer Steel,1.5,2.7
74.4,5.6,24.2,7.5,15.3,6.1,Bessemer Steel,1.5,2.7
74.4,5.6,24.2,7.5,15.3,8,Bessemer Steel,1.5,3.6
74.4,5.6,24.2,7.5,15.3,9.9,Bessemer Steel,1.5,4.5
74.4,5.6,24.2,7.5,15.3,12,Bessemer Steel,1.5,5.2
9.7,6,33,2.3,47.1,2,Bessemer Steel,1.5,2
9.7,6,33,2.3,47.1,4.1,Bessemer Steel,1.5,3.7
9.7,6,33,2.3,47.1,6,Bessemer Steel,1.5,5.3
9.7,6,33,2.3,47.1,8,Bessemer Steel,1.5,5.5
9.7,6,33,2.3,47.1,10,Bessemer Steel,1.5,6
9.7,6,33,2.3,47.1,12,Bessemer Steel,1.5,6.7
13.2,5.3,33.1,6.9,40.3,1.5,Bessemer Steel,1.5,1
13.2,5.3,33.1,6.9,40.3,4,Bessemer Steel,1.5,3
13.2,5.3,33.1,6.9,40.3,6,Bessemer Steel,1.5,4.2
13.2,5.3,33.1,6.9,40.3,7.9,Bessemer Steel,1.5,4.7
