Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
74.76,6.68,12.92,6.0,27.83,6.75,2.9,False,False,True,3.412553845608256,-0.7874740079807573
49.0,6.7,23.4,8.36,14.7,35.1,3.0,False,False,True,3.49058679010149,0.63884302088324
28.13,6.77,24.82,3.6,15.74,51.95,1.6,True,False,False,2.2031583554405074,-0.6084640427731403
31.9,7.1,12.4,13.75,33.5,12.8,1.5,False,False,True,4.59159299121863,-0.9158362767857537
137.02,4.82,34.64,11.9,14.78,45.91,1.54,False,True,False,11.97217130148424,1.4140317852512416
114.0,4.5,13.0,16.99,34.7,5.6,1.5,True,False,False,1.5629259862527762,-0.7002582944575821
431.0,5.9,12.2,8.71,40.6,7.2,3.0,False,True,False,0.4451572127439941,-0.6490541908756201
2.63,7.4,14.8,1.43,18.7,26.7,3.0,False,True,False,1.4312847604073016,1.335042429521211
3.3,7.6,37.0,1.29,8.7,70.1,3.0,True,False,False,0.7216904329273333,1.4025770303545315
21.4,4.67,34.22,17.0,3.5,63.62,1.53,True,False,False,6.345667400356435,-0.8556188408733006
29.8,7.3,46.4,4.9,20.9,18.6,3.0,False,False,True,1.9185021031493157,0.0961866545584061
386.0,4.5,3.0,4.72,32.1,2.6,1.5,False,True,False,0.7227577353263105,-0.7131703757005771
4.89,7.5,54.4,4.26,5.7,70.4,3.0,False,True,False,4.043581840419068,1.1336252793894226
0.64,2.89,55.19,6.3,69.19,65.1,1.59,False,False,True,7.319672038283575,0.3141089301743428
33.39,7.07,12.77,2.09,33.16,13.57,1.5,True,False,False,0.4774586735105761,-0.6424148080616859
28.9,7.5,22.4,10.19,3.8,36.3,1.5,False,False,True,5.089087585832292,-0.4652506402943915
6.84,7.3,37.6,8.22,2.0,44.9,3.0,True,False,False,5.037293491498505,-0.5122706529208513
114.21,4.56,13.16,4.1,34.96,5.67,3.02,True,False,False,0.9037081628209178,0.24903215202334275
12.7,4.2,34.5,6.0,26.6,71.2,1.5,False,True,False,9.410374773341855,-0.632463962212924
17.7,7.6,25.7,1.5,2.6,46.1,1.5,False,False,True,0.2233933598736404,-0.397529685124448
12.73,4.16,34.51,2.2,26.56,71.25,1.53,False,True,False,4.442805951823788,-1.0731048846583056
20.49,7.48,17.85,17.5,10.74,26.01,3.13,False,True,False,4.739361438866661,1.4124586238142314
137.0,4.7,34.8,2.9,14.9,45.8,1.5,True,False,False,4.08807907816701,-0.5013146574910315
11.4,7.3,28.4,11.16,16.6,20.3,3.0,False,False,True,3.438839201455412,0.6393976838817017
82.9,4.4,22.2,6.73,12.0,26.5,1.5,False,True,False,4.522473764747861,1.3473261172722468
252.48,6.37,19.29,8.56,25.35,19.42,3.0,True,False,False,3.7050372182543274,-1.0568645965529595
28.14,6.89,24.79,11.5,15.67,52.23,2.89,False,True,False,4.721025750059136,1.3950794672342637
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,False,True,10.076999284184676,-1.312808975176733
7.12,4.2,57.8,8.28,22.4,29.8,1.5,True,False,False,21.01925353085324,0.9778321938132581
49.0,6.7,23.4,8.67,14.7,35.1,1.5,False,True,False,3.509564671523916,-0.7452508380863309
59.8,4.5,30.8,3.91,4.4,51.7,3.0,True,False,False,3.9300039179342687,1.4130981901082922
109.98,5.11,32.06,7.8,15.61,53.05,2.93,False,False,True,1.826026049445373,-1.0290968434725027
74.6,6.6,13.0,6.1,27.8,6.6,3.0,False,False,True,3.2427389737008765,-0.2337153746596968
74.64,6.47,12.94,12.0,27.75,6.69,3.07,False,False,True,4.871376912744123,-0.6190166305163529
2.68,9.37,24.72,1.7,6.23,6.23,1.23,True,False,False,6.315130544106404,0.16720131290852172
431.0,5.9,12.2,5.13,40.6,7.2,1.5,True,False,False,0.7328177652931712,-0.7070123164701748
49.0,6.7,23.4,3.19,14.7,35.1,3.0,False,False,True,1.675880782699964,-0.7571021805047221
5.7,3.7,42.6,4.56,1.9,87.8,1.5,False,False,True,3.3317298854376984,-0.716504283721916
12.75,8.49,20.33,4.44,28.37,10.77,1.5,False,False,True,4.26493087384902,-0.8623669878710584
85.0,4.9,29.4,3.46,5.4,1.2,1.5,True,False,False,2.0816705483528133,1.2813358290922572
9.7,6.0,33.0,2.0,2.3,47.1,3.0,True,False,False,2.3361654772025267,-0.6913789339445562
51.5,4.9,28.4,6.34,9.6,22.3,1.5,False,True,False,5.172323127756506,0.1894725702854972
8.0,6.8,72.8,10.08,34.0,46.2,3.0,False,False,True,10.737132871831353,-0.8350867951963655
17.8,7.2,25.8,1.0,9.5,36.0,1.5,True,False,False,0.3482038522020982,-0.6396159965620779
4.89,7.5,54.4,7.41,5.7,70.4,3.0,False,False,True,4.988840207558355,1.378737636251571
12.7,4.2,34.5,2.24,26.6,71.2,3.0,False,True,False,5.45600560226605,1.414071505179053
112.0,3.8,7.0,5.4,3.5,4.5,3.0,False,False,True,4.125244198608837,-0.7023094603400792
112.0,3.8,7.0,10.6,3.5,4.5,1.5,False,False,True,8.234671638913627,-0.5958911864065713
12.15,7.0,28.6,9.11,1.1,52.5,3.0,False,False,True,8.934776758600718,-0.45170756519756805
28.2,6.8,24.8,1.0,15.8,52.1,1.5,False,True,False,0.5234545024099005,-0.6408025840818586
206.43,4.04,5.62,8.35,13.36,3.85,1.5,False,True,False,4.783605742224811,-0.8877261420321941
19.64,4.56,28.36,5.7,3.72,34.28,2.87,False,True,False,2.483418060968317,1.2592526182463861
13.2,5.3,33.1,17.4,6.9,40.3,1.5,False,False,True,6.635578357197463,-1.2299724262721299
57.0,7.3,17.8,2.43,11.7,15.8,3.0,True,False,False,1.0484924345666244,0.7658087556700294
35.07,6.35,17.04,5.9,14.29,14.15,2.89,False,False,True,2.946280039238282,-0.6008034290572073
137.0,4.7,34.8,10.12,14.9,45.8,3.0,True,False,False,9.614222164155729,0.23079530561870193
51.5,4.9,28.4,11.6,9.6,22.3,3.0,True,False,False,6.924858424279188,1.3615436734047717
51.52,4.92,28.19,7.5,9.74,22.42,1.52,False,False,True,5.883904188133942,1.4140696245730062
21.22,4.32,34.21,16.7,3.91,63.6,1.48,False,False,True,5.83824538303467,-0.5090523965346311
177.9,4.8,29.1,12.0,18.2,46.1,1.5,False,True,False,4.143347119153665,-1.2165299500476332
17.7,7.6,25.7,2.59,2.6,46.1,1.5,True,False,False,0.9312654486603,-1.398328132922113
14.94,6.79,7.54,4.1,23.22,31.07,3.07,True,False,False,2.713435601139937,-0.15071773621903334
3.3,7.6,37.0,8.57,8.7,70.1,1.5,False,True,False,4.152503772270498,-1.187115773785017
6.13,6.45,41.16,5.59,32.59,45.11,3.0,False,True,False,5.635241116053545,-0.7549650627837556
12.15,7.0,28.6,9.6,1.1,52.5,1.5,True,False,False,8.624569007064272,-0.6453568346631032
5.74,3.84,42.59,12.0,1.85,87.84,1.43,False,False,True,8.25384934425125,-1.3519378161182063
46.93,6.75,16.17,3.82,30.04,20.56,1.5,False,False,True,1.8835583410785743,1.1307394845895489
6.87,7.43,37.43,12.1,2.15,44.9,3.07,True,False,False,6.5286908887022905,-0.7360897208716808
2.34,8.8,28.7,7.5,5.0,24.5,1.5,True,False,False,16.97076236595733,-0.3384100394153783
386.07,4.56,3.05,12.1,32.12,2.44,3.1,True,False,False,2.445331501818006,-0.6903541732034257
137.0,4.7,34.8,9.58,14.9,45.8,1.5,False,False,True,11.498261570214668,0.9342818035347848
431.0,5.9,12.2,1.9,40.6,7.2,1.5,True,False,False,0.0830517790096425,-0.7058580813604974
431.0,5.9,12.2,1.9,40.6,7.2,1.5,False,True,False,-0.1291899195827436,-0.6422730342312497
74.54,6.7,13.11,8.1,27.83,6.37,1.59,False,False,True,4.2450647738228255,-0.7397207465532355
2.78,9.4,24.7,8.1,6.1,6.2,3.0,True,False,False,19.793984389104388,-0.5515716583115261
82.9,4.4,22.2,10.11,12.0,26.5,3.0,True,False,False,6.38546055967017,0.02893881357103037
57.0,7.3,17.8,9.66,11.7,15.8,3.0,True,False,False,3.210177880399856,0.19056234569824074
51.5,4.9,28.4,1.7,9.6,22.3,3.0,False,False,True,1.9894929846213596,-0.5585123303005632
17.7,7.6,25.7,6.1,2.6,46.1,1.5,True,False,False,1.934556452789584,0.6088309413059575
13.2,5.3,33.1,15.64,6.9,40.3,3.0,False,False,True,6.044076947559552,-0.8874612517846319
17.8,7.46,25.83,12.1,2.68,46.02,3.02,False,True,False,3.032622342079013,-1.1583379874930582
0.6,3.1,55.4,8.48,68.9,65.0,1.5,False,False,True,11.882852971713003,-1.3184310661123635
4.08,6.8,24.6,7.7,2.5,62.6,3.0,True,False,False,12.854217864465816,-0.7034535698449706
35.2,6.2,17.2,7.66,14.4,13.9,1.5,True,False,False,3.4549476916427837,0.2499506483035547
30.57,5.87,30.16,5.23,3.98,36.84,3.0,False,False,True,3.078595354724037,0.26766598494740856
28.2,6.8,24.8,7.67,15.8,52.1,1.5,True,False,False,3.502459488474968,-0.4133980844133891
9.7,6.0,33.0,8.35,2.3,47.1,3.0,False,False,True,6.636665353762238,1.2233985854561356
35.2,6.2,17.2,3.8,14.4,13.9,1.5,True,False,False,2.330844609029133,-0.736090631510433
23.7,6.2,31.2,3.91,10.8,30.9,1.5,True,False,False,2.9718346983189567,1.0744948996961872
2.63,7.4,14.8,1.64,18.7,26.7,3.0,False,False,True,1.6806782709683257,-0.7814258472380625
0.6,3.1,55.4,8.0,68.9,65.0,3.0,False,True,False,10.205515883449053,-0.6917133075144553
