Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type_Bessemer Steel,Iron and Steel Type_Open Hearth iron,Iron and Steel Type_Wrought Iron,Loss Oz/ft2,score
2.78,9.4,24.7,3.4,6.1,6.2,3.0,False,True,False,9.364445422745378,0.17391325002058364
1.27,7.02,29.35,11.6,7.11,32.27,1.39,False,True,False,5.041428126226363,0.32478371085448826
3.05,9.36,21.74,1.9,34.71,9.44,3.01,False,False,True,3.253422810068596,0.3748014185394896
2.34,8.8,28.7,9.24,5.0,24.5,1.5,True,False,False,19.708753236594987,1.0
74.62,6.55,12.83,1.2,27.82,6.67,1.34,False,False,True,2.346410786437072,0.6749318925339619
28.26,7.0,24.86,16.9,15.84,52.11,3.13,True,False,False,4.81310873089319,0.3430490534052106
15.0,7.0,7.6,10.79,23.2,30.9,1.5,False,True,False,4.286043060312377,0.32113536556893296
11.4,7.3,28.4,5.6,16.6,20.3,3.0,False,False,True,2.51904253401781,0.3511788720936182
74.4,5.6,24.2,5.96,7.5,15.3,1.5,True,False,False,3.3826375112916125,0.3688976438997255
17.7,7.6,25.7,12.1,2.6,46.1,3.0,False,False,True,3.6115538180016142,0.37104421467983956
178.02,4.74,29.12,3.8,18.18,46.08,1.6,False,False,True,3.5453684019149883,0.3772558937582856
9.7,6.0,33.0,11.68,2.3,47.1,1.5,False,True,False,7.636823050105674,0.43788252053368104
4.08,6.8,24.6,9.0,2.5,62.6,3.0,False,False,True,16.284600600789233,0.033431809751453746
177.9,4.8,29.1,7.22,18.2,46.1,3.0,False,True,False,4.015250336033333,0.30962546717146117
21.31,4.44,34.18,1.0,3.82,63.76,2.99,True,False,False,0.3450578664074713,0.3427874307116799
31.9,7.1,12.4,1.9,33.5,12.8,1.5,False,True,False,0.4837699154203363,0.34823526058251986
82.9,4.4,22.2,3.44,12.0,26.5,3.0,False,False,True,3.0433678649816898,0.33357573923052286
13.2,5.3,33.1,7.9,6.9,40.3,3.0,True,False,False,5.156011833954969,0.4051495890591075
2.94,9.45,24.71,10.3,6.09,6.11,1.69,True,False,False,20.27221632606071,0.3587554959400346
5.7,3.7,42.6,8.0,1.9,87.8,3.0,True,False,False,4.632655793420012,0.3608102173130773
3.3,7.6,37.0,7.5,8.7,70.1,1.5,False,True,False,3.80603467308958,0.3699982403111743
11.38,7.25,28.36,7.7,16.59,20.32,3.02,True,False,False,2.62397709607482,0.33380846594057684
49.0,6.7,23.4,1.4,14.7,35.1,3.0,False,False,True,1.0211964280788606,0.36083430153412327
31.8,5.82,30.38,4.75,10.45,28.39,1.5,False,False,True,3.8001143077361768,0.3128909625600725
12.15,7.0,28.6,1.0,1.1,46.2,1.5,False,True,False,1.3776853882077489,0.33404586868539365
2.78,9.4,24.7,5.49,6.1,6.2,3.0,False,True,False,13.454043653539422,0.17765982612086004
59.8,4.5,30.8,12.92,4.4,51.7,3.0,False,False,True,9.383609869134904,0.2527405139121057
17.73,7.51,25.81,4.0,2.51,46.13,1.63,False,False,True,1.2554537092813112,0.5044840875084469
35.2,6.2,17.2,5.57,14.4,13.9,1.5,False,True,False,3.212982455656746,0.46210962207027323
51.5,4.9,28.4,7.34,9.6,22.3,1.5,False,True,False,5.539210005590075,0.3308187605572464
386.0,4.5,3.0,1.45,32.1,2.6,3.0,True,False,False,1.808635933649235,0.8239279523915202
28.9,7.5,22.4,1.98,3.8,36.3,1.5,False,True,False,0.9632399776003516,0.3621527742487027
17.7,7.6,25.7,5.94,2.6,46.1,1.5,True,False,False,1.9315059107932409,0.34302574106213585
17.8,7.2,25.8,1.0,9.5,36.0,3.0,False,False,True,0.3395949950971966,0.3313653609490041
74.4,5.6,24.2,1.65,7.5,15.3,3.0,False,True,False,2.0436029027553757,0.4058673009904303
111.85,4.53,13.81,8.0,15.97,17.54,2.89,False,True,False,2.1981499024301563,0.3291251671115755
31.9,7.1,12.4,17.5,33.5,12.8,3.0,False,True,False,5.601455858989657,0.27090434490870896
9.7,6.0,33.0,10.35,2.3,47.1,3.0,False,False,True,7.760082043897251,0.2945194857535316
29.8,7.3,46.4,5.07,20.9,18.6,1.5,False,False,True,2.0381645812408262,0.32786355667003997
29.8,7.3,46.4,3.58,20.9,18.6,3.0,True,False,False,1.793275974876075,0.3358951449895307
1.3,7.0,29.4,9.42,7.2,32.4,1.5,False,True,False,4.774086519139891,0.26860298268711086
48.85,6.71,23.46,8.2,14.71,35.06,3.12,False,False,True,3.661782727693652,0.31943941716455865
49.0,6.7,23.4,6.77,14.7,35.1,1.5,False,True,False,2.87946919252659,0.3267214204222434
6.84,7.3,37.6,5.9,2.0,44.9,1.5,True,False,False,4.179606187904998,0.463592792660452
431.0,5.9,12.2,4.1,40.6,7.2,3.0,True,False,False,2.030950883258204,0.8309375896455735
11.4,7.3,28.4,6.05,16.6,20.3,3.0,False,False,True,2.546455321384685,0.33584694506764345
9.7,6.0,33.0,3.42,2.3,47.1,3.0,False,False,True,3.6291681612823936,0.3200704567810342
386.0,4.5,3.0,11.37,32.1,2.6,1.5,False,True,False,3.6786010122541386,0.859623226324041
66.7,5.6,22.2,4.85,7.0,17.7,1.5,False,True,False,4.094682633198255,0.32154948002209965
31.9,7.1,12.4,6.31,33.5,12.8,3.0,True,False,False,1.6755709859657286,0.4708359426887543
13.2,5.3,33.1,1.73,6.9,40.3,3.0,False,True,False,0.9715376125423942,0.3059805700544186
5.7,3.7,42.6,8.0,1.9,87.8,3.0,False,False,True,4.702112928740489,0.33110063432824105
82.9,4.4,22.2,3.11,12.0,26.5,3.0,True,False,False,2.8602580611537736,0.32386550875090514
49.0,6.7,23.4,12.0,14.7,35.1,3.0,False,True,False,4.238309720188257,0.3310603390794341
204.95,4.61,2.88,17.6,38.1,0.73,3.04,False,True,False,4.941768709418419,0.3439376822002037
5.7,3.7,42.6,12.0,1.9,87.8,3.0,False,False,True,6.873499858619551,0.7478648616843286
