Soil Resistivity (Ohm-m),pH,Moisture Equivalent(%),exposure time,Air pore space (%),Clay %,Pipe Diameter (inches),Iron and Steel Type,Loss Oz/ft2
110.0,5.3,32.0,11.9,15.5,53.1,3.0,Open Hearth iron,2.0
12.7,4.2,34.5,6.0,26.6,71.2,3.0,Open Hearth iron,9.6
94.86,5.53,22.81,2.44,9.12,14.47,1.5,Bessemer Steel,1.39
431.0,5.9,12.2,7.6,40.6,7.2,3.0,Wrought Iron,0.82
0.6,3.1,55.4,2.01,68.9,65.0,1.5,Wrought Iron,3.09
114.0,4.5,13.0,4.0,34.7,5.6,1.5,Open Hearth iron,0.4
18.0,5.15,28.4,3.26,6.49,31.36,1.5,Wrought Iron,1.19
110.0,5.3,32.0,4.96,15.5,53.1,1.5,Bessemer Steel,1.25
20.56,7.28,17.96,2.0,10.92,26.08,1.37,Bessemer Steel,0.68
7.94,6.56,72.69,3.7,33.9,46.23,3.05,Bessemer Steel,3.53
17.8,7.2,25.8,8.77,9.5,36.0,1.5,Wrought Iron,2.78
35.2,6.2,17.2,6.38,14.4,13.9,1.5,Wrought Iron,3.7
12.15,7.0,28.6,6.4,1.1,52.5,1.5,Open Hearth iron,4.64
35.2,6.2,17.2,2.83,14.4,13.9,3.0,Open Hearth iron,1.59
74.28,5.57,24.35,6.1,7.44,15.25,1.41,Wrought Iron,3.26
82.9,4.4,22.2,2.95,12.0,26.5,1.5,Bessemer Steel,2.53
8.0,6.8,72.8,10.75,34.0,46.2,3.0,Bessemer Steel,12.14
110.0,5.3,32.0,11.22,15.5,53.1,3.0,Open Hearth iron,1.93
113.94,4.29,13.15,4.0,34.8,5.53,1.57,Wrought Iron,0.59
110.16,5.2,31.94,12.0,15.52,52.92,1.51,Bessemer Steel,3.03
112.0,4.5,13.8,6.37,16.0,17.6,3.0,Wrought Iron,1.47
60.43,4.5,30.57,1.49,4.61,51.01,1.5,Bessemer Steel,1.56
177.9,4.8,29.1,12.0,18.2,46.1,1.5,Wrought Iron,4.6
51.5,4.9,28.4,10.69,9.6,22.3,3.0,Bessemer Steel,7.66
11.24,7.34,28.5,10.0,16.48,20.19,3.18,Wrought Iron,3.03
112.0,4.5,13.8,16.36,16.0,17.6,1.5,Wrought Iron,3.91
35.32,6.25,17.25,11.9,14.25,13.96,1.52,Open Hearth iron,4.18
29.8,7.3,46.4,9.43,20.9,18.6,1.5,Bessemer Steel,2.47
110.0,5.32,32.08,1.2,15.47,53.25,2.97,Open Hearth iron,0.31
3.3,7.6,37.0,6.73,8.7,70.1,1.5,Bessemer Steel,2.89
177.94,4.8,28.97,17.6,18.24,46.01,1.51,Wrought Iron,5.06
114.1,4.46,12.99,1.0,34.89,5.49,1.52,Open Hearth iron,0.36
109.97,5.24,31.97,10.1,15.66,53.11,1.54,Bessemer Steel,2.02
3.3,7.6,37.0,11.8,8.7,70.1,3.0,Open Hearth iron,7.9
17.79,7.59,25.65,7.9,2.7,46.16,1.32,Wrought Iron,2.3
4.08,6.8,24.6,7.41,2.5,62.6,1.5,Open Hearth iron,11.42
4.08,6.8,24.6,5.6,2.5,62.6,1.5,Open Hearth iron,10.3
29.8,7.3,46.4,10.98,20.9,18.6,1.5,Open Hearth iron,3.2
57.62,5.7,26.48,9.41,6.15,23.55,1.5,Wrought Iron,4.62
5.67,3.34,42.5,4.0,2.09,87.73,3.04,Open Hearth iron,3.6
19.7,4.6,28.4,8.58,3.9,34.2,1.5,Bessemer Steel,2.85
2.78,9.4,24.7,4.38,6.1,6.2,3.0,Bessemer Steel,12.08
12.15,7.0,28.6,5.5,1.1,52.5,3.0,Open Hearth iron,5.4
8.0,6.8,72.8,8.7,34.0,46.2,3.0,Bessemer Steel,10.21
28.2,6.8,24.8,4.63,15.8,52.1,3.0,Bessemer Steel,2.35
15.97,5.81,28.4,5.86,9.61,27.95,3.0,Bessemer Steel,1.52
82.9,4.4,22.2,7.37,12.0,26.5,3.0,Wrought Iron,4.88
28.2,6.8,24.8,8.26,15.8,52.1,3.0,Open Hearth iron,3.64
11.4,7.3,28.4,7.44,16.6,20.3,1.5,Open Hearth iron,1.86
13.2,5.3,33.1,7.9,6.9,40.3,1.5,Open Hearth iron,4.8
2.89,9.43,21.8,2.0,34.61,9.77,1.46,Wrought Iron,2.96
28.2,6.8,24.8,10.47,15.8,52.1,3.0,Wrought Iron,4.52
57.0,7.3,17.8,11.22,11.7,15.8,1.5,Wrought Iron,3.43
49.0,6.7,23.4,1.46,14.7,35.1,3.0,Bessemer Steel,1.41
2.9,9.5,21.7,4.2,34.5,9.4,1.5,Wrought Iron,7.0
74.6,6.6,13.0,6.22,27.8,6.6,3.0,Bessemer Steel,3.48
5.7,3.7,42.6,12.0,1.9,87.8,1.5,Bessemer Steel,7.6
23.7,6.2,31.2,4.0,10.8,30.9,3.0,Open Hearth iron,2.9
82.9,4.4,22.2,4.0,12.0,26.5,3.0,Bessemer Steel,3.3
21.2,4.4,34.3,7.7,3.7,63.6,3.0,Bessemer Steel,4.2
112.17,4.7,13.81,3.9,16.07,17.66,1.55,Open Hearth iron,1.52
11.09,7.35,33.18,8.42,10.92,64.47,1.5,Wrought Iron,5.12
28.2,6.8,24.8,3.5,15.8,52.1,1.5,Open Hearth iron,1.7
17.87,7.21,25.85,11.9,9.53,36.06,1.51,Wrought Iron,4.04
19.7,4.6,28.4,3.96,3.9,34.2,3.0,Open Hearth iron,2.3
2.9,9.5,21.7,1.9,34.5,9.4,3.0,Bessemer Steel,3.3
110.0,5.3,32.0,7.8,15.5,53.1,3.0,Open Hearth iron,1.4
0.67,3.14,55.23,11.92,68.47,64.76,3.0,Bessemer Steel,13.01
66.32,4.47,28.37,4.25,6.55,44.59,3.0,Wrought Iron,3.32
8.0,6.8,72.8,3.7,34.0,46.2,1.5,Open Hearth iron,3.5
28.85,7.53,22.3,5.5,3.81,36.29,2.85,Open Hearth iron,2.14
6.84,7.3,37.6,12.0,2.0,44.9,3.0,Bessemer Steel,6.6
8.0,6.8,72.8,7.6,34.0,46.2,3.0,Wrought Iron,8.5
66.7,5.6,22.2,8.0,7.0,17.7,3.0,Wrought Iron,5.5
12.49,4.06,34.48,4.2,26.52,71.24,1.3,Open Hearth iron,7.21
21.03,5.99,45.02,11.48,13.98,43.79,1.5,Open Hearth iron,2.69
31.9,7.1,12.4,1.9,33.5,12.8,3.0,Bessemer Steel,0.3
1.3,7.0,29.4,8.2,7.2,32.4,1.5,Bessemer Steel,4.2
57.0,7.3,17.8,5.32,11.7,15.8,1.5,Wrought Iron,2.03
431.0,5.9,12.2,17.5,40.6,7.2,3.0,Bessemer Steel,1.9
2.78,9.4,24.7,1.9,6.1,6.2,3.0,Bessemer Steel,6.7
52.18,5.7,31.93,9.3,15.38,13.23,1.53,Bessemer Steel,3.73
8.0,6.8,72.8,3.7,34.0,46.2,3.0,Open Hearth iron,3.5
9.7,6.0,33.0,10.52,2.3,47.1,1.5,Wrought Iron,7.38
17.69,7.64,25.53,17.1,2.66,46.1,2.96,Wrought Iron,6.0
386.0,4.5,3.0,6.29,32.1,2.6,3.0,Open Hearth iron,1.37
13.15,7.0,28.8,12.1,4.9,35.8,1.5,Open Hearth iron,6.5
29.8,7.3,46.4,11.5,20.9,18.6,3.0,Open Hearth iron,3.7
1.9,6.2,47.4,2.0,4.4,7.8,1.5,Bessemer Steel,7.4
52.1,5.8,32.0,14.2,15.5,13.2,1.5,Bessemer Steel,4.1
13.15,7.0,28.8,2.06,4.9,35.8,3.0,Bessemer Steel,1.0
59.59,4.49,30.92,3.7,4.47,52.01,1.53,Bessemer Steel,3.12
137.13,4.77,34.84,4.2,14.9,45.92,1.38,Bessemer Steel,5.79
28.12,6.83,24.88,5.4,15.81,52.04,3.01,Open Hearth iron,2.61
74.6,6.6,13.0,2.36,27.8,6.6,1.5,Open Hearth iron,1.4
12.15,7.0,28.6,5.5,1.1,52.5,1.5,Open Hearth iron,4.4
51.5,4.9,28.4,2.12,9.6,22.3,3.0,Wrought Iron,1.86
48.94,6.86,23.26,6.2,14.58,35.02,3.03,Open Hearth iron,3.16
19.7,4.6,28.4,8.75,3.9,34.2,3.0,Bessemer Steel,3.05
11.4,7.3,28.4,8.86,16.6,20.3,3.0,Bessemer Steel,2.74
4.89,7.5,54.4,12.0,5.7,70.4,1.5,Wrought Iron,8.5
21.22,4.37,34.29,3.4,3.67,63.59,3.09,Wrought Iron,2.79
29.81,7.32,46.4,7.5,20.88,18.85,2.87,Open Hearth iron,1.51
21.2,4.4,34.3,3.5,3.7,63.6,3.0,Bessemer Steel,2.5
74.6,6.6,13.0,1.3,27.8,6.6,1.5,Bessemer Steel,1.3
17.43,7.15,30.07,5.67,12.73,59.88,3.0,Bessemer Steel,3.93
59.8,4.5,30.8,3.49,4.4,51.7,1.5,Open Hearth iron,3.09
16.58,7.35,18.16,5.87,11.18,39.77,3.0,Open Hearth iron,2.81
94.35,5.05,15.61,13.89,29.55,11.81,3.0,Wrought Iron,1.18
45.34,3.62,48.64,4.81,51.19,58.7,3.0,Wrought Iron,4.26
49.0,6.7,23.4,6.3,14.7,35.1,3.0,Open Hearth iron,3.11
35.16,6.13,17.3,7.8,14.49,14.02,1.5,Open Hearth iron,1.91
8.0,6.8,72.8,1.0,34.0,46.2,3.0,Bessemer Steel,0.4
35.2,6.2,17.2,7.33,14.4,13.9,1.5,Wrought Iron,3.7
5.7,3.7,42.6,17.34,1.9,87.8,1.5,Bessemer Steel,9.22
21.5,7.02,28.08,3.91,13.89,56.94,3.0,Wrought Iron,2.78
21.29,4.41,34.38,1.0,3.62,63.59,1.41,Bessemer Steel,0.66
3.27,7.6,37.04,10.0,8.84,70.01,1.69,Wrought Iron,5.2
102.59,6.5,13.18,6.14,19.83,11.12,3.0,Wrought Iron,2.15
110.0,5.3,32.0,8.66,15.5,53.1,1.5,Open Hearth iron,1.16
4.08,6.8,24.6,1.74,2.5,62.6,3.0,Bessemer Steel,3.17
11.4,7.3,28.4,9.8,16.6,20.3,1.5,Bessemer Steel,3.3
28.9,7.5,22.4,1.0,3.8,36.3,3.0,Bessemer Steel,0.9
12.73,4.19,34.52,6.0,26.5,71.26,1.42,Open Hearth iron,9.96
21.16,4.5,34.32,3.5,3.69,63.71,2.96,Bessemer Steel,2.37
3.3,7.6,37.0,9.87,8.7,70.1,1.5,Bessemer Steel,4.58
10.0,8.8,31.2,1.53,7.2,31.2,3.0,Wrought Iron,0.57
9.7,6.0,33.0,4.1,2.3,47.1,1.5,Open Hearth iron,4.0
4.89,7.5,54.4,8.0,5.7,70.4,1.5,Wrought Iron,4.7
13.28,5.42,32.89,12.1,6.88,40.42,1.45,Open Hearth iron,6.04
21.65,5.22,27.13,9.35,3.88,34.65,3.0,Wrought Iron,2.71
29.8,7.3,46.4,9.09,20.9,18.6,1.5,Open Hearth iron,2.1
69.81,5.74,18.88,9.76,23.13,19.56,1.5,Bessemer Steel,0.94
1.26,6.97,29.24,8.1,7.17,32.43,1.58,Bessemer Steel,4.22
137.03,4.56,34.82,2.2,14.87,45.72,1.48,Wrought Iron,3.53
6.93,7.14,37.71,5.7,1.9,44.95,1.5,Bessemer Steel,3.42
386.07,4.57,3.12,3.9,32.03,2.39,2.98,Bessemer Steel,0.58
77.87,4.42,24.07,9.65,10.34,31.99,3.0,Wrought Iron,6.37
12.7,4.2,34.5,5.91,26.6,71.2,1.5,Bessemer Steel,9.75
8.0,6.8,72.8,7.83,34.0,46.2,3.0,Open Hearth iron,8.92
17.7,7.6,25.7,5.1,2.6,46.1,3.0,Bessemer Steel,1.9
4.89,7.5,54.4,13.23,5.7,70.4,3.0,Wrought Iron,9.22
137.0,4.7,34.8,6.18,14.9,45.8,3.0,Open Hearth iron,6.81
2.63,7.4,14.8,8.93,18.7,26.7,3.0,Open Hearth iron,9.29
177.9,4.8,29.1,7.05,18.2,46.1,3.0,Bessemer Steel,4.12
0.6,3.1,55.4,1.3,68.9,65.0,3.0,Wrought Iron,2.0
2.9,9.5,21.7,2.79,34.5,9.4,1.5,Open Hearth iron,2.58
1.3,7.0,29.4,11.6,7.2,32.4,3.0,Bessemer Steel,5.6
8.0,6.8,72.8,3.08,34.0,46.2,1.5,Wrought Iron,2.64
4.08,6.8,24.6,6.55,2.5,62.6,1.5,Bessemer Steel,12.64
0.51,3.1,55.2,6.1,68.92,64.88,1.42,Bessemer Steel,7.03
17.7,7.6,25.7,1.5,2.6,46.1,1.5,Open Hearth iron,0.5
15.0,7.0,7.6,5.82,23.2,30.9,1.5,Wrought Iron,3.64
35.05,6.77,23.06,14.6,17.57,45.38,3.0,Open Hearth iron,4.75
19.65,4.68,28.36,11.6,3.92,34.16,1.44,Wrought Iron,3.42
26.01,6.59,28.48,8.83,11.76,31.03,1.5,Wrought Iron,3.77
1.9,6.2,47.4,13.74,4.4,7.8,1.5,Bessemer Steel,20.22
66.85,5.63,22.28,8.1,7.04,17.78,1.56,Open Hearth iron,5.25
1.3,7.0,29.4,11.6,7.2,32.4,3.0,Wrought Iron,6.3
12.07,6.78,28.66,1.0,1.21,52.53,2.82,Wrought Iron,1.12
74.6,6.6,13.0,7.71,27.8,6.6,1.5,Open Hearth iron,4.29
17.63,7.62,25.81,1.3,2.64,46.31,1.53,Bessemer Steel,0.24
137.0,4.7,34.8,8.53,14.9,45.8,1.5,Wrought Iron,8.44
7.12,4.2,57.8,14.4,22.4,29.8,1.5,Bessemer Steel,35.2
57.0,7.3,17.8,6.75,11.7,15.8,3.0,Bessemer Steel,2.44
51.5,4.9,28.4,6.02,9.6,22.3,3.0,Wrought Iron,4.98
1.37,6.98,29.41,8.2,7.24,32.36,3.09,Open Hearth iron,3.91
31.9,7.1,12.4,9.26,33.5,12.8,1.5,Wrought Iron,2.32
12.7,4.2,34.5,11.56,26.6,71.2,1.5,Wrought Iron,15.58
28.16,6.87,24.89,5.6,15.86,52.02,3.1,Wrought Iron,2.53
37.39,6.2,27.33,8.79,8.59,17.64,1.5,Wrought Iron,7.17
29.8,7.3,46.4,5.76,20.9,18.6,3.0,Open Hearth iron,1.24
17.67,7.64,25.81,4.1,2.64,45.92,2.82,Bessemer Steel,1.6
0.6,3.1,55.4,6.66,68.9,65.0,1.5,Wrought Iron,9.85
59.8,4.5,30.8,1.2,4.4,51.7,1.5,Open Hearth iron,1.5
12.15,7.0,28.6,11.6,1.1,52.5,3.0,Wrought Iron,9.5
112.0,3.8,7.0,8.0,3.5,4.5,1.5,Open Hearth iron,5.8
430.96,5.89,12.26,6.2,40.59,7.17,3.01,Bessemer Steel,0.88
51.5,4.9,28.4,7.6,9.6,22.3,1.5,Wrought Iron,6.2
17.7,7.6,25.7,6.1,2.6,46.1,3.0,Open Hearth iron,1.6
13.15,7.0,28.8,6.2,4.9,35.8,3.0,Wrought Iron,4.9
431.0,5.9,12.2,4.1,40.6,7.2,1.5,Open Hearth iron,0.7
13.15,7.0,28.8,8.39,4.9,35.8,3.0,Bessemer Steel,5.91
17.7,7.6,25.7,2.35,2.6,46.1,1.5,Open Hearth iron,0.76
112.0,3.8,7.0,8.0,3.5,4.5,3.0,Open Hearth iron,6.1
2.9,9.5,21.7,4.2,34.5,9.4,1.5,Bessemer Steel,3.8
12.7,4.2,34.5,7.07,26.6,71.2,3.0,Bessemer Steel,10.02
31.79,7.09,12.31,17.5,33.61,12.81,1.47,Bessemer Steel,5.7
12.7,4.2,34.5,11.07,26.6,71.2,3.0,Bessemer Steel,14.8
114.07,4.57,12.86,7.8,34.72,5.5,3.13,Open Hearth iron,0.92
66.7,5.6,22.2,8.95,7.0,17.7,3.0,Wrought Iron,5.88
21.2,4.4,34.3,8.9,3.7,63.6,1.5,Wrought Iron,4.55
0.6,3.1,55.4,10.79,68.9,65.0,1.5,Bessemer Steel,17.26
112.0,3.8,7.0,3.61,3.5,4.5,1.5,Wrought Iron,3.91
12.7,4.2,34.5,6.23,26.6,71.2,3.0,Open Hearth iron,10.38
77.76,6.83,26.23,15.09,10.42,31.38,3.0,Open Hearth iron,9.41
28.9,7.5,22.4,6.53,3.8,36.3,1.5,Bessemer Steel,2.39
431.11,5.96,12.18,12.0,40.71,7.29,1.59,Open Hearth iron,0.84
20.0,5.94,31.6,3.59,3.13,42.04,1.5,Open Hearth iron,2.53
17.86,7.25,25.77,3.7,9.6,36.02,1.53,Bessemer Steel,1.43
82.98,4.26,22.13,12.1,12.17,26.42,2.89,Wrought Iron,7.76
14.1,5.67,35.37,10.64,5.68,66.18,1.5,Open Hearth iron,4.87
5.7,3.7,42.6,8.0,1.9,87.8,3.0,Open Hearth iron,4.9
178.01,4.78,28.95,3.9,18.23,46.01,3.0,Wrought Iron,3.54
12.7,4.2,34.5,3.29,26.6,71.2,3.0,Open Hearth iron,6.11
12.7,4.2,34.5,2.0,26.6,71.2,1.5,Bessemer Steel,1.4
3.3,7.6,37.0,8.21,8.7,70.1,3.0,Wrought Iron,4.35
59.8,4.5,30.8,9.97,4.4,51.7,3.0,Bessemer Steel,8.62
2.78,9.4,24.7,6.2,6.1,6.2,1.5,Open Hearth iron,13.7
4.06,6.68,24.56,9.0,2.37,62.54,1.33,Open Hearth iron,15.69
35.2,6.2,17.2,9.9,14.4,13.9,1.5,Bessemer Steel,5.3
28.9,7.5,22.4,3.6,3.8,36.3,3.0,Open Hearth iron,2.2
37.0,5.82,29.67,9.56,10.15,36.91,1.5,Bessemer Steel,5.15
12.06,7.04,28.62,7.7,1.21,52.55,1.45,Open Hearth iron,5.11
28.9,7.5,22.4,5.5,3.8,36.3,3.0,Open Hearth iron,2.3
57.0,7.3,17.8,10.88,11.7,15.8,3.0,Open Hearth iron,3.13
29.8,7.3,46.4,16.9,20.9,18.6,1.5,Open Hearth iron,4.0
35.2,6.2,17.2,3.27,14.4,13.9,1.5,Wrought Iron,2.09
10.89,5.76,33.03,8.44,3.86,44.79,1.5,Open Hearth iron,4.83
15.05,6.74,7.58,8.1,23.28,30.75,2.88,Bessemer Steel,4.39
5.7,3.7,42.6,16.37,1.9,87.8,1.5,Wrought Iron,10.76
59.8,4.5,30.8,9.63,4.4,51.7,1.5,Bessemer Steel,7.73
112.0,3.8,7.0,8.0,3.5,4.5,3.0,Wrought Iron,6.3
57.0,7.3,17.8,11.39,11.7,15.8,1.5,Open Hearth iron,2.95
82.9,4.4,22.2,2.0,12.0,26.5,3.0,Bessemer Steel,2.6
23.7,6.2,31.2,4.42,10.8,30.9,3.0,Wrought Iron,3.22
74.6,6.6,13.0,9.51,27.8,6.6,1.5,Open Hearth iron,4.36
3.3,7.6,37.0,7.7,8.7,70.1,1.5,Open Hearth iron,3.3
0.54,3.29,55.45,6.3,68.85,65.07,3.05,Open Hearth iron,6.31
177.9,4.8,29.1,3.65,18.2,46.1,1.5,Wrought Iron,2.95
17.8,7.2,25.8,3.34,9.5,36.0,1.5,Open Hearth iron,0.57
386.0,4.5,3.0,3.83,32.1,2.6,1.5,Bessemer Steel,0.57
114.0,4.5,13.0,2.08,34.7,5.6,1.5,Wrought Iron,0.39
20.6,7.3,18.0,11.14,10.9,26.0,1.5,Wrought Iron,2.56
13.15,7.0,28.8,6.2,4.9,35.8,1.5,Open Hearth iron,4.9
177.84,4.9,29.09,17.7,18.18,46.04,3.01,Bessemer Steel,4.16
51.5,4.9,28.4,5.85,9.6,22.3,3.0,Open Hearth iron,4.8
21.2,4.4,34.3,5.55,3.7,63.6,1.5,Bessemer Steel,3.04
7.97,6.76,72.84,11.7,34.0,46.07,2.9,Bessemer Steel,12.83
20.6,7.3,18.0,17.5,10.9,26.0,1.5,Open Hearth iron,1.5
17.63,7.6,25.61,17.1,2.63,46.03,2.89,Bessemer Steel,5.54
8.0,6.8,72.8,2.2,34.0,46.2,1.5,Bessemer Steel,1.84
114.0,4.5,13.0,5.82,34.7,5.6,1.5,Open Hearth iron,0.83
11.33,7.28,28.42,4.0,16.57,20.19,3.11,Wrought Iron,1.11
110.0,5.3,32.0,10.91,15.5,53.1,1.5,Bessemer Steel,2.43
10.0,8.8,31.2,9.95,7.2,31.2,3.0,Open Hearth iron,2.51
110.18,5.25,32.08,7.9,15.63,53.1,1.29,Open Hearth iron,0.83
385.87,4.45,3.06,1.7,32.14,2.47,1.49,Bessemer Steel,0.12
49.0,6.7,23.4,8.0,14.7,35.1,3.0,Wrought Iron,3.5
112.0,3.8,7.0,4.1,3.5,4.5,3.0,Open Hearth iron,4.4
6.84,7.3,37.6,3.05,2.0,44.9,1.5,Bessemer Steel,2.7
74.6,6.6,13.0,7.9,27.8,6.6,3.0,Bessemer Steel,4.6
112.0,4.5,13.8,3.97,16.0,17.6,1.5,Bessemer Steel,2.04
32.0,7.1,12.49,17.6,33.52,12.96,3.01,Open Hearth iron,4.91
110.16,5.32,31.96,11.8,15.47,53.05,1.43,Open Hearth iron,1.62
28.9,7.5,22.4,2.21,3.8,36.3,1.5,Bessemer Steel,1.61
12.75,4.22,34.5,4.1,26.61,70.99,1.63,Wrought Iron,7.55
59.8,4.5,30.8,6.29,4.4,51.7,3.0,Wrought Iron,6.38
110.0,5.3,32.0,11.38,15.5,53.1,3.0,Wrought Iron,1.92
386.0,4.5,3.0,15.53,32.1,2.6,3.0,Wrought Iron,2.33
28.2,6.8,24.8,11.5,15.8,52.1,3.0,Open Hearth iron,5.0
386.0,4.5,3.0,4.0,32.1,2.6,3.0,Bessemer Steel,0.6
0.6,3.1,55.4,10.09,68.9,65.0,3.0,Open Hearth iron,11.33
2.79,9.25,21.62,5.8,34.66,9.28,1.56,Wrought Iron,8.26
12.71,4.28,34.54,5.9,26.53,71.06,2.95,Wrought Iron,9.14
12.7,4.2,34.5,4.1,26.6,71.2,3.0,Bessemer Steel,6.9
9.7,6.0,33.0,9.86,2.3,47.1,1.5,Bessemer Steel,5.97
13.15,7.0,28.8,3.7,4.9,35.8,1.5,Wrought Iron,1.97
2.34,8.8,28.7,13.96,5.0,24.5,1.5,Bessemer Steel,34.64
74.35,5.63,24.27,10.0,7.5,15.46,1.46,Open Hearth iron,4.57
19.7,4.6,28.4,1.23,3.9,34.2,3.0,Bessemer Steel,0.85
14.51,5.29,33.12,17.24,6.98,40.36,3.0,Bessemer Steel,6.96
2.78,9.4,24.7,4.3,6.1,6.2,3.0,Open Hearth iron,11.9
10.08,8.83,31.4,11.6,7.09,31.32,2.92,Open Hearth iron,2.69
0.6,3.1,55.4,8.0,68.9,65.0,1.5,Wrought Iron,15.3
30.05,7.28,46.47,3.5,20.98,18.66,3.15,Bessemer Steel,2.22
28.92,7.45,22.51,5.5,4.01,36.23,2.99,Wrought Iron,2.36
15.0,7.0,7.6,9.64,23.2,30.9,1.5,Wrought Iron,5.08
4.01,6.68,24.53,7.7,2.56,62.59,3.02,Open Hearth iron,16.47
114.0,4.5,13.0,8.4,34.7,5.6,3.0,Open Hearth iron,0.96
12.65,4.16,34.48,8.2,26.48,71.29,1.37,Bessemer Steel,11.06
28.9,7.5,22.4,1.0,3.8,36.3,1.5,Bessemer Steel,1.0
2.78,9.4,24.7,1.9,6.1,6.2,1.5,Wrought Iron,7.6
28.9,7.5,22.4,7.7,3.8,36.3,3.0,Open Hearth iron,2.9
112.0,3.8,7.0,7.2,3.5,4.5,3.0,Open Hearth iron,5.34
19.58,4.6,28.51,11.5,3.84,34.28,1.59,Open Hearth iron,2.86
35.31,6.3,17.22,7.8,14.24,13.9,1.65,Wrought Iron,3.7
82.84,4.42,22.33,4.0,12.03,26.5,3.02,Bessemer Steel,3.31
12.7,4.2,34.5,8.0,26.6,71.2,3.0,Bessemer Steel,11.0
28.2,6.8,24.8,16.9,15.8,52.1,3.0,Bessemer Steel,5.1
205.0,4.7,2.8,2.0,38.1,0.6,1.5,Bessemer Steel,1.5
17.85,7.24,25.78,17.2,9.27,35.94,2.89,Wrought Iron,2.94
199.79,5.16,15.67,7.76,17.4,10.19,3.0,Open Hearth iron,1.9
0.6,3.1,55.4,5.17,68.9,65.0,3.0,Bessemer Steel,7.31
2.94,9.49,24.67,12.3,6.11,6.25,2.96,Open Hearth iron,19.58
51.5,4.9,28.4,11.34,9.6,22.3,1.5,Open Hearth iron,6.96
12.15,7.0,28.6,7.32,1.1,52.5,1.5,Wrought Iron,6.57
59.8,4.5,30.8,3.73,4.4,51.7,1.5,Bessemer Steel,3.15
112.0,3.8,7.0,10.44,3.5,4.5,3.0,Wrought Iron,8.2
36.62,5.6,29.9,4.0,10.24,26.9,1.5,Bessemer Steel,3.4
59.82,4.51,30.78,17.0,4.46,51.59,3.0,Open Hearth iron,9.32
1.3,7.0,29.4,8.2,7.2,32.4,1.5,Open Hearth iron,4.1
11.4,7.3,28.4,3.8,16.6,20.3,3.0,Wrought Iron,1.3
19.7,4.6,28.4,5.7,3.9,34.2,1.5,Wrought Iron,3.0
10.0,8.8,31.2,7.6,7.2,31.2,1.5,Open Hearth iron,1.7
28.2,6.8,24.8,10.78,15.8,52.1,1.5,Wrought Iron,4.54
13.0,7.01,28.68,4.0,5.07,35.81,2.88,Bessemer Steel,2.28
6.84,7.3,37.6,12.0,2.0,44.9,3.0,Open Hearth iron,5.4
14.53,6.28,28.4,7.7,11.8,25.55,1.5,Open Hearth iron,2.09
54.97,5.1,33.67,12.2,9.6,42.16,1.5,Open Hearth iron,4.92
31.9,7.1,12.4,2.96,33.5,12.8,1.5,Bessemer Steel,1.12
8.0,6.8,72.8,7.04,34.0,46.2,3.0,Wrought Iron,7.19
9.7,6.0,33.0,2.91,2.3,47.1,1.5,Bessemer Steel,2.74
35.2,6.2,17.2,2.14,14.4,13.9,1.5,Open Hearth iron,0.96
31.9,7.1,12.4,17.5,33.5,12.8,3.0,Wrought Iron,5.4
205.0,4.7,2.8,8.0,38.1,0.6,1.5,Bessemer Steel,2.8
48.81,6.8,23.3,1.5,14.73,35.12,3.03,Bessemer Steel,1.3
177.9,4.8,29.1,17.6,18.2,46.1,1.5,Bessemer Steel,5.1
1.3,7.0,29.4,14.47,7.2,32.4,3.0,Bessemer Steel,6.29
2.78,9.4,24.7,1.9,6.1,6.2,1.5,Open Hearth iron,5.4
21.2,4.4,34.3,15.9,3.7,63.6,1.5,Wrought Iron,5.43
17.7,7.6,25.7,1.5,2.6,46.1,3.0,Bessemer Steel,0.5
430.95,5.67,12.31,1.9,40.54,7.25,1.52,Open Hearth iron,0.25
51.5,4.9,28.4,9.6,9.6,22.3,3.0,Open Hearth iron,6.8
13.08,6.94,28.76,6.3,4.83,35.92,1.52,Bessemer Steel,4.97
3.16,7.46,36.9,7.7,8.8,70.07,2.96,Open Hearth iron,3.72
82.9,4.4,22.2,2.0,12.0,26.5,3.0,Open Hearth iron,2.3
6.84,7.3,37.6,10.27,2.0,44.9,3.0,Bessemer Steel,5.59
3.3,7.6,37.0,3.94,8.7,70.1,3.0,Bessemer Steel,2.0
12.15,7.0,28.6,10.41,1.1,52.5,1.5,Open Hearth iron,8.43
35.2,6.2,17.2,7.7,14.4,13.9,1.5,Bessemer Steel,4.2
4.89,7.5,54.4,4.0,5.7,70.4,3.0,Open Hearth iron,3.4
0.6,3.1,55.4,9.12,68.9,65.0,3.0,Open Hearth iron,11.04
59.8,4.5,30.8,17.0,4.4,51.7,1.5,Wrought Iron,8.8
205.0,4.7,2.8,7.71,38.1,0.6,1.5,Open Hearth iron,1.77
12.15,7.0,28.6,11.09,1.1,52.5,3.0,Wrought Iron,9.47
431.0,5.9,12.2,11.37,40.6,7.2,1.5,Wrought Iron,1.14
6.84,7.3,37.6,17.6,2.0,44.9,1.5,Wrought Iron,8.4
20.6,7.3,18.0,6.83,10.9,26.0,1.5,Open Hearth iron,1.62
114.0,4.5,13.0,5.31,34.7,5.6,3.0,Open Hearth iron,0.84
15.22,7.09,7.5,5.1,23.17,30.88,1.55,Bessemer Steel,3.13
